11/18/2008 23:47,LittleBigPlanet,Fashion Sense,Bronze
11/18/2008 23:52,LittleBigPlanet,2X Multiplier!,Bronze
11/18/2008 23:57,LittleBigPlanet,Artist,Bronze
11/19/2008 2:27,LittleBigPlanet,Secret Stickerist,Bronze
11/19/2008 2:56,LittleBigPlanet,The Gardens,Bronze
11/19/2008 2:56,LittleBigPlanet,Friendly,Bronze
11/19/2008 3:21,LittleBigPlanet,Homemaker,Bronze
11/19/2008 3:58,LittleBigPlanet,The Savannah,Bronze
11/19/2008 22:32,LittleBigPlanet,Trendsetter,Bronze
11/19/2008 23:27,LittleBigPlanet,8X Multiplier!,Bronze
11/19/2008 23:30,LittleBigPlanet,Forager,Bronze
11/19/2008 23:30,LittleBigPlanet,The Wedding,Bronze
11/20/2008 2:07,LittleBigPlanet,Incredible Speed!,Bronze
11/21/2008 0:25,LittleBigPlanet,The Canyons,Bronze
11/22/2008 13:00,LittleBigPlanet,Creator,Bronze
11/22/2008 13:00,LittleBigPlanet,Team Creator,Bronze
12/21/2008 3:38,LittleBigPlanet,Sticky Fingers,Bronze
12/21/2008 20:29,LittleBigPlanet,The Islands,Bronze
12/21/2008 20:37,LittleBigPlanet,The Temples,Bronze
12/22/2008 15:03,LittleBigPlanet,Cranium Collector,Bronze
12/22/2008 15:05,LittleBigPlanet,Just Beginning,Silver
5/30/2009 12:43,inFAMOUS,Evil Eats,Bronze
5/30/2009 12:50,inFAMOUS,Evil Riot,Bronze
5/30/2009 12:57,inFAMOUS,Stunt Man,Bronze
5/31/2009 23:44,inFAMOUS,Drop Everything,Bronze
5/31/2009 23:52,inFAMOUS,Evil Train,Bronze
6/1/2009 13:37,inFAMOUS,Clean Up Your Act,Silver
6/2/2009 18:07,inFAMOUS,Evil Exposure,Bronze
7/14/2009 20:44,Skate 2,Skater Evolved,Bronze
7/14/2009 20:45,Skate 2,I Like To Move It,Bronze
7/14/2009 20:45,Skate 2,Meet Slappy,Bronze
7/14/2009 21:51,Skate 2,Juggling Chainsaws,Bronze
7/17/2009 19:05,Skate 2,Sandbag,Bronze
7/17/2009 19:06,Skate 2,Uninsurable,Bronze
7/25/2009 19:49,Skate 2,Taste The Mongo,Silver
7/31/2009 15:06,Skate 2,GVR Champ,Bronze
8/1/2009 16:06,Skate 2,Still Alive?,Bronze
8/1/2009 16:29,Skate 2,Grasshopper,Bronze
8/4/2009 18:31,Skate 2,Need for Speed,Bronze
8/4/2009 18:32,Skate 2,Skitched Up,Bronze
8/14/2009 1:41,Skate 2,Running Man,Bronze
8/16/2009 21:12,Battlefield: Bad Company,Killer on the loose,Silver
8/17/2009 1:58,Battlefield: Bad Company,I Love Gold!,Bronze
8/20/2009 22:50,Battlefield: Bad Company,Home Wrecker,Bronze
9/4/2009 23:27,Skate 2,Big Air Champ,Bronze
1/13/2010 17:51,Battlefield: Bad Company,The Hypochondriac,Bronze
2/11/2010 14:14,LittleBigPlanet,The Metropolis,Bronze
4/10/2010 20:40,Red Faction: Guerrilla,Welcoming Committee,Bronze
4/11/2010 1:41,Red Faction: Guerrilla,Martian Tea Party,Silver
4/11/2010 13:07,Red Faction: Guerrilla,Insurgent,Bronze
4/11/2010 13:39,Red Faction: Guerrilla,Spread the Word,Bronze
4/13/2010 22:40,Red Faction: Guerrilla,Death From Above,Bronze
6/6/2010 3:20,ModNation Racers,Newcomer,Bronze
6/6/2010 3:42,ModNation Racers,Dresser,Bronze
6/6/2010 3:47,ModNation Racers,Mechanic,Bronze
6/6/2010 3:59,ModNation Racers,Fill'er Up,Bronze
6/6/2010 16:08,ModNation Racers,Shopping Spree,Bronze
6/6/2010 20:36,Batman: Arkham Asylum (PS3),Freeflow Combo 5,Bronze
6/6/2010 20:41,Batman: Arkham Asylum (PS3),Shocking Rescue,Bronze
6/6/2010 20:46,Batman: Arkham Asylum (PS3),Leave No Man Behind,Bronze
6/6/2010 20:50,Batman: Arkham Asylum (PS3),Malpractice Needs More Practice,Bronze
6/6/2010 21:26,Batman: Arkham Asylum (PS3),Born Free,Bronze
6/6/2010 22:34,ModNation Racers,Pacifist,Bronze
6/7/2010 1:43,ModNation Racers,Knockin' Boost,Bronze
6/7/2010 2:13,Batman: Arkham Asylum (PS3),Rope-a-dope-a-dope,Bronze
6/7/2010 13:55,Batman: Arkham Asylum (PS3),Just What The Doctors Ordered,Bronze
6/7/2010 14:17,Batman: Arkham Asylum (PS3),Daydreamer,Bronze
6/7/2010 20:19,Batman: Arkham Asylum (PS3),Baneful Payback,Silver
6/7/2010 20:29,Batman: Arkham Asylum (PS3),Arkham Analyst,Bronze
6/8/2010 3:05,ModNation Racers,Mayhem Tour Winner,Bronze
6/8/2010 3:31,ModNation Racers,Sculptor,Bronze
6/8/2010 12:52,Batman: Arkham Asylum (PS3),Freeflow Combo 10,Bronze
6/8/2010 12:58,Batman: Arkham Asylum (PS3),Breaking And Entering,Bronze
6/10/2010 22:36,Batman: Arkham Asylum (PS3),Recurring Nightmare,Bronze
6/10/2010 22:40,Batman: Arkham Asylum (PS3),Zsasz Cut Down To Size,Bronze
6/10/2010 22:45,Batman: Arkham Asylum (PS3),Cryptic Investigator,Bronze
6/10/2010 23:18,Batman: Arkham Asylum (PS3),Solitary Confinement,Silver
6/11/2010 13:30,ModNation Racers,Shields Up!,Bronze
6/11/2010 14:36,Batman: Arkham Asylum (PS3),Double Trouble,Silver
6/12/2010 22:04,Batman: Arkham Asylum (PS3),Resist The Fear,Silver
6/12/2010 22:41,Batman: Arkham Asylum (PS3),Crocodile Tears,Silver
6/12/2010 23:11,Batman: Arkham Asylum (PS3),Freakshow Rodeo,Bronze
6/12/2010 23:13,Batman: Arkham Asylum (PS3),Freeflow Combo 20,Silver
6/12/2010 23:37,Batman: Arkham Asylum (PS3),Poisoned Ivy,Silver
6/13/2010 12:12,Batman: Arkham Asylum (PS3),Party Pooper,Bronze
6/13/2010 12:28,Batman: Arkham Asylum (PS3),Big Bang,Silver
6/15/2010 14:58,ModNation Racers,Bruiser,Bronze
6/15/2010 23:32,ModNation Racers,Range Tour Winner,Bronze
6/16/2010 16:32,ModNation Racers,Trigger Happy,Bronze
6/17/2010 2:00,Red Dead Redemption,That Government Boy,Bronze
6/17/2010 14:19,Red Dead Redemption,Strange Things are Afoot,Bronze
6/17/2010 20:48,Red Dead Redemption,Clemency Pays,Bronze
6/18/2010 15:42,Red Dead Redemption,He Cleans Up Well!,Bronze
6/21/2010 16:26,Red Dead Redemption,Land of Opportunity,Bronze
